Date,Gold_Price
04-03-2020,38782
05-03-2020,39246
06-03-2020,40061
09-03-2020,39971
10-03-2020,39570
11-03-2020,39283
12-03-2020,37604
13-03-2020,37261
16-03-2020,35643
17-03-2020,36795
18-03-2020,35889
19-03-2020,35661
20-03-2020,36248
23-03-2020,37703
24-03-2020,39315
25-03-2020,39308
26-03-2020,39631
27-03-2020,39047
30-03-2020,39476
31-03-2020,39264
01-04-2020,38474
02-04-2020,39456
03-04-2020,39635
06-04-2020,40500
07-04-2020,40236
08-04-2020,40576
09-04-2020,41362
10-04-2020,41362
13-04-2020,41352
14-04-2020,42859
15-04-2020,42377
16-04-2020,42880
17-04-2020,41697
20-04-2020,41630
21-04-2020,41690
22-04-2020,42313
23-04-2020,42601
24-04-2020,42319
27-04-2020,42181
28-04-2020,41573
29-04-2020,41583
30-04-2020,41248
01-05-2020,40848
04-05-2020,41745
05-05-2020,41466
06-05-2020,41339
07-05-2020,41646
08-05-2020,41531
11-05-2020,41600
12-05-2020,41470
13-05-2020,41589
14-05-2020,42211
15-05-2020,42302
18-05-2020,42481
19-05-2020,42408
20-05-2020,42750
21-05-2020,42074
22-05-2020,42475
25-05-2020,42475
26-05-2020,41985
27-05-2020,41389
28-05-2020,41966
29-05-2020,42167
01-06-2020,42174
02-06-2020,42353
03-06-2020,41517
04-06-2020,41447
05-06-2020,41046
08-06-2020,41187
09-06-2020,41796
10-06-2020,41994
11-06-2020,42498
12-06-2020,42416
15-06-2020,41949
16-06-2020,42278
17-06-2020,42365
18-06-2020,42238
19-06-2020,42639
22-06-2020,43212
23-06-2020,43168
24-06-2020,43141
25-06-2020,42873
26-06-2020,42647
29-06-2020,43195
30-06-2020,43064
01-07-2020,43191
02-07-2020,43011
03-07-2020,42685
06-07-2020,43072
07-07-2020,43257
08-07-2020,43827
09-07-2020,43840
10-07-2020,43744
13-07-2020,43845
14-07-2020,43844
15-07-2020,43747
16-07-2020,43843
17-07-2020,43739
20-07-2020,43874
21-07-2020,44428
22-07-2020,44670
23-07-2020,45297
24-07-2020,45917
27-07-2020,46754
28-07-2020,46862
29-07-2020,47073
30-07-2020,47269
31-07-2020,47419
03-08-2020,47391
04-08-2020,47880
05-08-2020,49514
06-08-2020,49968
07-08-2020,49096
10-08-2020,49398
11-08-2020,46787
12-08-2020,46636
13-08-2020,46941
14-08-2020,46990
17-08-2020,47658
18-08-2020,48443
19-08-2020,47818
20-08-2020,46646
21-08-2020,46462
24-08-2020,46597
25-08-2020,45820
26-08-2020,46330
27-08-2020,45808
28-08-2020,46341
31-08-2020,46476
01-09-2020,46368
02-09-2020,45868
03-09-2020,45992
04-09-2020,45444
07-09-2020,45626
08-09-2020,45373
09-09-2020,46197
10-09-2020,46595
11-09-2020,46194
14-09-2020,46429
15-09-2020,46312
16-09-2020,46524
17-09-2020,46003
18-09-2020,46224
21-09-2020,45208
22-09-2020,45244
23-09-2020,44462
24-09-2020,44381
25-09-2020,44154
28-09-2020,44377
29-09-2020,44885
30-09-2020,44908
01-10-2020,44880
02-10-2020,44905
05-10-2020,45147
06-10-2020,45342
07-10-2020,44573
08-10-2020,44594
09-10-2020,45379
12-10-2020,45513
13-10-2020,44755
14-10-2020,45168
15-10-2020,44782
16-10-2020,45074
19-10-2020,45103
20-10-2020,45000
21-10-2020,45682
22-10-2020,45095
23-10-2020,45204
26-10-2020,45228
27-10-2020,45320
28-10-2020,44563
29-10-2020,44711
30-10-2020,44987
02-11-2020,45374
03-11-2020,45802
04-11-2020,45812
05-11-2020,46523
06-11-2020,46458
09-11-2020,44667
10-11-2020,44963
11-11-2020,44646
12-11-2020,45145
13-11-2020,45514
16-11-2020,45387
17-11-2020,45372
18-11-2020,44896
19-11-2020,44499
20-11-2020,44869
23-11-2020,43990
24-11-2020,42962
25-11-2020,43159
26-11-2020,43077
27-11-2020,42506
30-11-2020,42106
01-12-2020,43029
02-12-2020,43394
03-12-2020,43690
04-12-2020,43874
07-12-2020,44340
08-12-2020,44328
09-12-2020,43706
10-12-2020,43823
11-12-2020,43762
14-12-2020,43453
15-12-2020,43963
16-12-2020,43961
17-12-2020,44879
18-12-2020,44607
21-12-2020,44749
22-12-2020,44716
23-12-2020,44614
24-12-2020,44487
25-12-2020,44487
28-12-2020,44457
29-12-2020,44392
30-12-2020,44636
31-12-2020,44491
01-01-2021,44491
04-01-2021,45771
05-01-2021,45803
06-01-2021,45564
07-01-2021,45410
08-01-2021,44018
11-01-2021,43732
12-01-2021,43507
13-01-2021,43864
14-01-2021,43397
15-01-2021,43346
18-01-2021,43332
19-01-2021,43306
20-01-2021,43740
21-01-2021,43846
22-01-2021,43612
25-01-2021,43690
26-01-2021,43684
27-01-2021,43354
28-01-2021,43680
29-01-2021,43865
01-02-2021,43890
02-02-2021,43145
03-02-2021,43198
04-02-2021,42033
05-02-2021,42415
08-02-2021,43196
09-02-2021,43247
10-02-2021,43298
11-02-2021,43247
12-02-2021,42626
15-02-2021,42608
16-02-2021,42079
17-02-2021,41791
18-02-2021,41555
19-02-2021,41861
22-02-2021,42266
23-02-2021,42065
24-02-2021,41727
25-02-2021,41578
26-02-2021,41314
01-03-2021,41145
02-03-2021,40798
03-03-2021,40145
04-03-2021,40229
05-03-2021,39951
08-03-2021,39863
09-03-2021,40397
10-03-2021,40367
11-03-2021,40557
12-03-2021,40033
15-03-2021,40297
16-03-2021,40609
17-03-2021,40476
18-03-2021,40382
19-03-2021,40594
22-03-2021,40532
23-03-2021,40327
24-03-2021,40508
25-03-2021,40700
26-03-2021,40509
29-03-2021,39905
30-03-2021,39863
31-03-2021,39884
01-04-2021,40709
02-04-2021,40709
05-04-2021,40817
06-04-2021,41321
07-04-2021,41783
08-04-2021,42224
09-04-2021,41981
12-04-2021,41959
13-04-2021,42324
14-04-2021,42024
15-04-2021,42470
16-04-2021,42557
19-04-2021,42861
20-04-2021,42949
21-04-2021,43441
22-04-2021,43220
23-04-2021,43118
26-04-2021,42749
27-04-2021,42971
28-04-2021,42513
29-04-2021,42099
30-04-2021,42237
03-05-2021,42148
04-05-2021,42833
05-05-2021,42495
06-05-2021,43146
07-05-2021,43549
10-05-2021,43549
11-05-2021,43274
12-05-2021,43360
13-05-2021,43149
14-05-2021,43456
17-05-2021,43784
18-05-2021,43985
19-05-2021,44577
20-05-2021,44298
21-05-2021,44075
24-05-2021,44256
25-05-2021,44297
26-05-2021,44597
27-05-2021,44292
28-05-2021,44399
31-05-2021,44509
01-06-2021,44666
02-06-2021,44860
03-06-2021,43901
04-06-2021,44524
07-06-2021,44352
08-06-2021,44518
09-06-2021,44599
10-06-2021,44511
11-06-2021,44339
14-06-2021,44097
15-06-2021,44109
16-06-2021,44012
17-06-2021,42502
18-06-2021,42246
21-06-2021,42434
22-06-2021,42584
23-06-2021,42929
24-06-2021,42701
25-06-2021,42761
28-06-2021,42609
29-06-2021,42036
30-06-2021,42276
01-07-2021,42847
02-07-2021,43072
05-07-2021,42939
06-07-2021,43525
07-07-2021,43437
08-07-2021,43569
09-07-2021,43482
12-07-2021,43120
13-07-2021,43587
14-07-2021,43867
15-07-2021,43856
16-07-2021,43882
19-07-2021,43838
20-07-2021,43880
21-07-2021,43377
22-07-2021,43225
23-07-2021,43194
26-07-2021,43216
27-07-2021,43246
28-07-2021,43108
29-07-2021,43835
30-07-2021,43827
02-08-2021,43441
03-08-2021,43436
04-08-2021,43775
05-08-2021,43086
06-08-2021,42170
09-08-2021,41658
10-08-2021,41378
11-08-2021,41871
12-08-2021,41856
13-08-2021,42486
16-08-2021,42785
17-08-2021,42919
18-08-2021,42714
19-08-2021,42680
20-08-2021,42696
23-08-2021,43139
24-08-2021,43282
25-08-2021,42837
26-08-2021,42777
27-08-2021,42755
30-08-2021,42512
31-08-2021,42741
01-09-2021,42715
02-09-2021,42722
03-09-2021,42955
06-09-2021,42957
07-09-2021,42687
08-09-2021,42407
09-09-2021,42398
10-09-2021,42548
13-09-2021,42638
14-09-2021,42613
15-09-2021,42604
16-09-2021,41453
17-09-2021,41625
20-09-2021,41814
21-09-2021,42134
22-09-2021,42259
23-09-2021,41570
24-09-2021,41527
27-09-2021,41811
28-09-2021,41416
29-09-2021,41550
30-09-2021,41730
01-10-2021,42013
04-10-2021,42061
05-10-2021,42106
06-10-2021,42563
07-10-2021,42509
08-10-2021,42893
11-10-2021,42726
12-10-2021,43059
13-10-2021,43418
14-10-2021,43667
15-10-2021,43034
18-10-2021,42968
19-10-2021,43253
20-10-2021,42946
21-10-2021,42970
22-10-2021,43695
25-10-2021,43726
26-10-2021,43177
27-10-2021,43449
28-10-2021,43591
29-10-2021,42734
01-11-2021,43324
02-11-2021,43137
03-11-2021,42360
04-11-2021,43146
05-11-2021,43283
08-11-2021,43515
09-11-2021,43639
10-11-2021,44609
11-11-2021,44659
12-11-2021,44673
15-11-2021,44687
16-11-2021,44604
17-11-2021,44681
18-11-2021,44556
19-11-2021,44575
22-11-2021,43588
23-11-2021,42953
24-11-2021,42768
25-11-2021,42978
26-11-2021,43494
29-11-2021,43263
30-11-2021,43744
01-12-2021,43238
02-12-2021,42698
03-12-2021,42860
06-12-2021,43274
07-12-2021,43348
08-12-2021,43420
09-12-2021,43271
10-12-2021,43504
13-12-2021,43695
14-12-2021,43493
15-12-2021,43493
16-12-2021,44077
17-12-2021,44367
20-12-2021,43991
21-12-2021,43745
22-12-2021,43691
23-12-2021,43817
24-12-2021,43687
27-12-2021,43675
28-12-2021,43478
29-12-2021,43254
30-12-2021,43354
31-12-2021,43303
03-01-2022,43258
04-01-2022,43566
05-01-2022,43805
06-01-2022,43001
07-01-2022,42969
10-01-2022,42851
11-01-2022,43079
12-01-2022,43432
13-01-2022,43387
14-01-2022,43611
17-01-2022,43535
18-01-2022,43721
19-01-2022,43870
20-01-2022,44352
21-01-2022,44119
24-01-2022,44058
25-01-2022,44560
26-01-2022,44286
27-01-2022,43757
28-01-2022,43284
31-01-2022,43215
01-02-2022,43430
02-02-2022,43544
03-02-2022,43292
04-02-2022,43492
07-02-2022,43705
08-02-2022,43950
09-02-2022,44109
10-02-2022,44376
11-02-2022,44526
14-02-2022,45508
15-02-2022,44929
16-02-2022,45109
17-02-2022,45875
18-02-2022,45601
21-02-2022,45527
22-02-2022,45895
23-02-2022,45815
24-02-2022,47254
25-02-2022,45775
28-02-2022,46420
01-03-2022,46715
02-03-2022,47102
03-03-2022,47251
04-03-2022,47793
